ESTABELECIMENTO,MUNICIPIO,REGIONAL,MACRORREGIAO,SEM_EPI,casos,obitos,uti,confirmados
ABESSS,CASCAVEL,10a RS CASCAVEL,MACRORREGIAO OESTE,19,1,0,0,1
ABESSS,BOA VISTA DA APARECIDA,10a RS CASCAVEL,MACRORREGIAO OESTE,20,1,0,1,0
ABESSS,CASCAVEL,10a RS CASCAVEL,MACRORREGIAO OESTE,20,1,0,0,0
ABESSS,NOVA AURORA,10a RS CASCAVEL,MACRORREGIAO OESTE,22,1,1,1,1
ABESSS,NOVA AURORA,10a RS CASCAVEL,MACRORREGIAO OESTE,23,1,1,1,0
ABESSS,FORMOSA DO OESTE,10a RS CASCAVEL,MACRORREGIAO OESTE,27,1,0,1,0
ABESSS,CASCAVEL,10a RS CASCAVEL,MACRORREGIAO OESTE,28,1,0,1,0
ABESSS,CASCAVEL,10a RS CASCAVEL,MACRORREGIAO OESTE,30,1,0,0,0
ABESSS,CASCAVEL,10a RS CASCAVEL,MACRORREGIAO OESTE,32,1,0,0,0
APMI,CASCAVEL,10a RS CASCAVEL,MACRORREGIAO OESTE,18,1,0,0,1
CEONC,CASCAVEL,10a RS CASCAVEL,MACRORREGIAO OESTE,29,1,0,0,0
CEONC,CASCAVEL,10a RS CASCAVEL,MACRORREGIAO OESTE,33,1,0,0,0
COMPLEXO DO HOSPITAL DE CLINICAS DA UFPR HC E MVFA,CASCAVEL,10a RS CASCAVEL,MACRORREGIAO OESTE,25,1,0,0,1
HOESP,CASCAVEL,10a RS CASCAVEL,MACRORREGIAO OESTE,17,1,0,0,1
HOESP,CASCAVEL,10a RS CASCAVEL,MACRORREGIAO OESTE,23,1,0,1,0
HOESP,CASCAVEL,10a RS CASCAVEL,MACRORREGIAO OESTE,24,1,0,0,0
HOSPITAL BOM SAMARITANO,CEU AZUL,10a RS CASCAVEL,MACRORREGIAO OESTE,22,1,0,0,0
HOSPITAL BOM SAMARITANO,CEU AZUL,10a RS CASCAVEL,MACRORREGIAO OESTE,23,1,0,0,0
HOSPITAL DE CLINICAS MEDIANEIRA,CASCAVEL,10a RS CASCAVEL,MACRORREGIAO OESTE,27,1,0,0,0
HOSPITAL DE ENSINO SAO LUCAS,CASCAVEL,10a RS CASCAVEL,MACRORREGIAO OESTE,2,2,0,1,2
HOSPITAL DE ENSINO SAO LUCAS,CASCAVEL,10a RS CASCAVEL,MACRORREGIAO OESTE,3,1,0,1,0
HOSPITAL DE ENSINO SAO LUCAS,LINDOESTE,10a RS CASCAVEL,MACRORREGIAO OESTE,3,1,0,0,0
HOSPITAL DE ENSINO SAO LUCAS,CASCAVEL,10a RS CASCAVEL,MACRORREGIAO OESTE,4,5,0,1,0
HOSPITAL DE ENSINO SAO LUCAS,CASCAVEL,10a RS CASCAVEL,MACRORREGIAO OESTE,5,3,0,1,2
HOSPITAL DE ENSINO SAO LUCAS,SANTA TEREZA DO OESTE,10a RS CASCAVEL,MACRORREGIAO OESTE,5,2,0,0,1
HOSPITAL DE ENSINO SAO LUCAS,CASCAVEL,10a RS CASCAVEL,MACRORREGIAO OESTE,6,1,0,1,1
HOSPITAL DE ENSINO SAO LUCAS,CASCAVEL,10a RS CASCAVEL,MACRORREGIAO OESTE,7,2,0,2,2
HOSPITAL DE ENSINO SAO LUCAS,CAFELANDIA,10a RS CASCAVEL,MACRORREGIAO OESTE,8,1,0,0,1
HOSPITAL DE ENSINO SAO LUCAS,CASCAVEL,10a RS CASCAVEL,MACRORREGIAO OESTE,8,1,0,0,0
HOSPITAL DE ENSINO SAO LUCAS,CASCAVEL,10a RS CASCAVEL,MACRORREGIAO OESTE,9,3,0,1,2
HOSPITAL DE ENSINO SAO LUCAS,NOVA AURORA,10a RS CASCAVEL,MACRORREGIAO OESTE,9,1,0,0,1
HOSPITAL DE ENSINO SAO LUCAS,CASCAVEL,10a RS CASCAVEL,MACRORREGIAO OESTE,10,3,0,1,1
HOSPITAL DE ENSINO SAO LUCAS,CASCAVEL,10a RS CASCAVEL,MACRORREGIAO OESTE,11,6,0,0,4
HOSPITAL DE ENSINO SAO LUCAS,CASCAVEL,10a RS CASCAVEL,MACRORREGIAO OESTE,12,4,0,0,2
HOSPITAL DE ENSINO SAO LUCAS,NOVA AURORA,10a RS CASCAVEL,MACRORREGIAO OESTE,12,1,0,0,1
HOSPITAL DE ENSINO SAO LUCAS,CASCAVEL,10a RS CASCAVEL,MACRORREGIAO OESTE,13,9,0,2,7
HOSPITAL DE ENSINO SAO LUCAS,CASCAVEL,10a RS CASCAVEL,MACRORREGIAO OESTE,14,3,0,1,1
HOSPITAL DE ENSINO SAO LUCAS,CASCAVEL,10a RS CASCAVEL,MACRORREGIAO OESTE,15,12,0,2,7
HOSPITAL DE ENSINO SAO LUCAS,CASCAVEL,10a RS CASCAVEL,MACRORREGIAO OESTE,16,4,0,0,2
HOSPITAL DE ENSINO SAO LUCAS,BRAGANEY,10a RS CASCAVEL,MACRORREGIAO OESTE,17,1,0,1,0
HOSPITAL DE ENSINO SAO LUCAS,CAFELANDIA,10a RS CASCAVEL,MACRORREGIAO OESTE,17,1,0,0,1
HOSPITAL DE ENSINO SAO LUCAS,CASCAVEL,10a RS CASCAVEL,MACRORREGIAO OESTE,17,10,0,3,9
HOSPITAL DE ENSINO SAO LUCAS,CASCAVEL,10a RS CASCAVEL,MACRORREGIAO OESTE,18,8,0,1,6
HOSPITAL DE ENSINO SAO LUCAS,CAFELANDIA,10a RS CASCAVEL,MACRORREGIAO OESTE,19,1,0,0,0
HOSPITAL DE ENSINO SAO LUCAS,CASCAVEL,10a RS CASCAVEL,MACRORREGIAO OESTE,19,13,1,2,11
HOSPITAL DE ENSINO SAO LUCAS,QUEDAS DO IGUACU,10a RS CASCAVEL,MACRORREGIAO OESTE,19,1,0,0,1
HOSPITAL DE ENSINO SAO LUCAS,CAPITAO LEONIDAS MARQUES,10a RS CASCAVEL,MACRORREGIAO OESTE,20,1,0,0,1
HOSPITAL DE ENSINO SAO LUCAS,CASCAVEL,10a RS CASCAVEL,MACRORREGIAO OESTE,20,15,0,3,11
HOSPITAL DE ENSINO SAO LUCAS,JESUITAS,10a RS CASCAVEL,MACRORREGIAO OESTE,20,1,0,0,1
HOSPITAL DE ENSINO SAO LUCAS,SANTA TEREZA DO OESTE,10a RS CASCAVEL,MACRORREGIAO OESTE,20,1,0,0,1
HOSPITAL DE ENSINO SAO LUCAS,CASCAVEL,10a RS CASCAVEL,MACRORREGIAO OESTE,21,18,0,5,16
HOSPITAL DE ENSINO SAO LUCAS,CAPITAO LEONIDAS MARQUES,10a RS CASCAVEL,MACRORREGIAO OESTE,22,1,0,0,0
HOSPITAL DE ENSINO SAO LUCAS,CASCAVEL,10a RS CASCAVEL,MACRORREGIAO OESTE,22,15,0,4,14
HOSPITAL DE ENSINO SAO LUCAS,CEU AZUL,10a RS CASCAVEL,MACRORREGIAO OESTE,22,1,0,0,1
HOSPITAL DE ENSINO SAO LUCAS,CORBELIA,10a RS CASCAVEL,MACRORREGIAO OESTE,22,1,0,0,1
HOSPITAL DE ENSINO SAO LUCAS,SANTA TEREZA DO OESTE,10a RS CASCAVEL,MACRORREGIAO OESTE,22,1,0,0,1
HOSPITAL DE ENSINO SAO LUCAS,BRAGANEY,10a RS CASCAVEL,MACRORREGIAO OESTE,23,1,0,0,1
HOSPITAL DE ENSINO SAO LUCAS,CAFELANDIA,10a RS CASCAVEL,MACRORREGIAO OESTE,23,1,0,0,1
HOSPITAL DE ENSINO SAO LUCAS,CASCAVEL,10a RS CASCAVEL,MACRORREGIAO OESTE,23,18,0,1,15
HOSPITAL DE ENSINO SAO LUCAS,CEU AZUL,10a RS CASCAVEL,MACRORREGIAO OESTE,23,1,1,1,1
HOSPITAL DE ENSINO SAO LUCAS,NOVA AURORA,10a RS CASCAVEL,MACRORREGIAO OESTE,23,1,0,0,1
HOSPITAL DE ENSINO SAO LUCAS,CAFELANDIA,10a RS CASCAVEL,MACRORREGIAO OESTE,24,1,0,0,1
