ESTABELECIMENTO,MUNICIPIO,REGIONAL,MACRORREGIAO,SEM_EPI,virus,positivos
APMI,VERA CRUZ DO OESTE,10a RS CASCAVEL,MACRORREGIAO OESTE,18,Influenza,1
HOSPITAL DE ENSINO SAO LUCAS,CASCAVEL,10a RS CASCAVEL,MACRORREGIAO OESTE,2,Influenza,1
HOSPITAL DE ENSINO SAO LUCAS,CASCAVEL,10a RS CASCAVEL,MACRORREGIAO OESTE,2,Rinovírus,1
HOSPITAL DE ENSINO SAO LUCAS,CASCAVEL,10a RS CASCAVEL,MACRORREGIAO OESTE,5,Adenovírus,1
HOSPITAL DE ENSINO SAO LUCAS,CASCAVEL,10a RS CASCAVEL,MACRORREGIAO OESTE,5,Rinovírus,2
HOSPITAL DE ENSINO SAO LUCAS,CASCAVEL,10a RS CASCAVEL,MACRORREGIAO OESTE,6,Rinovírus,1
HOSPITAL DE ENSINO SAO LUCAS,CASCAVEL,10a RS CASCAVEL,MACRORREGIAO OESTE,7,Covid-19,2
HOSPITAL DE ENSINO SAO LUCAS,CASCAVEL,10a RS CASCAVEL,MACRORREGIAO OESTE,7,Rinovírus,1
HOSPITAL DE ENSINO SAO LUCAS,CASCAVEL,10a RS CASCAVEL,MACRORREGIAO OESTE,8,Covid-19,1
HOSPITAL DE ENSINO SAO LUCAS,CASCAVEL,10a RS CASCAVEL,MACRORREGIAO OESTE,8,Rinovírus,1
HOSPITAL DE ENSINO SAO LUCAS,CASCAVEL,10a RS CASCAVEL,MACRORREGIAO OESTE,9,Covid-19,1
HOSPITAL DE ENSINO SAO LUCAS,CASCAVEL,10a RS CASCAVEL,MACRORREGIAO OESTE,9,Influenza,1
HOSPITAL DE ENSINO SAO LUCAS,CASCAVEL,10a RS CASCAVEL,MACRORREGIAO OESTE,9,Rinovírus,2
HOSPITAL DE ENSINO SAO LUCAS,CASCAVEL,10a RS CASCAVEL,MACRORREGIAO OESTE,10,Covid-19,1
HOSPITAL DE ENSINO SAO LUCAS,CASCAVEL,10a RS CASCAVEL,MACRORREGIAO OESTE,10,Rinovírus,1
HOSPITAL DE ENSINO SAO LUCAS,CASCAVEL,10a RS CASCAVEL,MACRORREGIAO OESTE,11,Rinovírus,4
HOSPITAL DE ENSINO SAO LUCAS,CASCAVEL,10a RS CASCAVEL,MACRORREGIAO OESTE,12,Covid-19,2
HOSPITAL DE ENSINO SAO LUCAS,CASCAVEL,10a RS CASCAVEL,MACRORREGIAO OESTE,12,Rinovírus,2
HOSPITAL DE ENSINO SAO LUCAS,CASCAVEL,10a RS CASCAVEL,MACRORREGIAO OESTE,13,Adenovírus,1
HOSPITAL DE ENSINO SAO LUCAS,CASCAVEL,10a RS CASCAVEL,MACRORREGIAO OESTE,13,Covid-19,1
HOSPITAL DE ENSINO SAO LUCAS,CASCAVEL,10a RS CASCAVEL,MACRORREGIAO OESTE,13,Influenza,3
HOSPITAL DE ENSINO SAO LUCAS,CASCAVEL,10a RS CASCAVEL,MACRORREGIAO OESTE,13,Rinovírus,4
HOSPITAL DE ENSINO SAO LUCAS,CASCAVEL,10a RS CASCAVEL,MACRORREGIAO OESTE,14,Influenza,1
HOSPITAL DE ENSINO SAO LUCAS,CASCAVEL,10a RS CASCAVEL,MACRORREGIAO OESTE,15,Covid-19,2
HOSPITAL DE ENSINO SAO LUCAS,CASCAVEL,10a RS CASCAVEL,MACRORREGIAO OESTE,15,Influenza,2
HOSPITAL DE ENSINO SAO LUCAS,CASCAVEL,10a RS CASCAVEL,MACRORREGIAO OESTE,15,Rinovírus,4
HOSPITAL DE ENSINO SAO LUCAS,CASCAVEL,10a RS CASCAVEL,MACRORREGIAO OESTE,16,Influenza,2
HOSPITAL DE ENSINO SAO LUCAS,CASCAVEL,10a RS CASCAVEL,MACRORREGIAO OESTE,17,Adenovírus,2
HOSPITAL DE ENSINO SAO LUCAS,CASCAVEL,10a RS CASCAVEL,MACRORREGIAO OESTE,17,Covid-19,4
HOSPITAL DE ENSINO SAO LUCAS,CASCAVEL,10a RS CASCAVEL,MACRORREGIAO OESTE,17,Influenza,3
