ESTABELECIMENTO,MUNICIPIO,REGIONAL,MACRORREGIAO,SEM_EPI,casos,obitos,uti,confirmados
APMI,VERA CRUZ DO OESTE,10a RS CASCAVEL,MACRORREGIAO OESTE,18,1,0,0,1
CEONC,CASCAVEL,10a RS CASCAVEL,MACRORREGIAO OESTE,29,1,0,0,0
CEONC,CASCAVEL,10a RS CASCAVEL,MACRORREGIAO OESTE,33,1,0,0,0
HOSPITAL BOM SAMARITANO,CEU AZUL,10a RS CASCAVEL,MACRORREGIAO OESTE,22,1,0,0,0
HOSPITAL BOM SAMARITANO,CEU AZUL,10a RS CASCAVEL,MACRORREGIAO OESTE,23,1,0,0,0
HOSPITAL DE ENSINO SAO LUCAS,CASCAVEL,10a RS CASCAVEL,MACRORREGIAO OESTE,2,2,0,1,2
HOSPITAL DE ENSINO SAO LUCAS,CASCAVEL,10a RS CASCAVEL,MACRORREGIAO OESTE,3,2,0,1,0
HOSPITAL DE ENSINO SAO LUCAS,CASCAVEL,10a RS CASCAVEL,MACRORREGIAO OESTE,4,5,0,1,0
HOSPITAL DE ENSINO SAO LUCAS,CASCAVEL,10a RS CASCAVEL,MACRORREGIAO OESTE,5,6,1,2,3
HOSPITAL DE ENSINO SAO LUCAS,CASCAVEL,10a RS CASCAVEL,MACRORREGIAO OESTE,6,1,0,1,1
HOSPITAL DE ENSINO SAO LUCAS,CASCAVEL,10a RS CASCAVEL,MACRORREGIAO OESTE,7,4,0,4,3
HOSPITAL DE ENSINO SAO LUCAS,CASCAVEL,10a RS CASCAVEL,MACRORREGIAO OESTE,8,2,0,0,1
HOSPITAL DE ENSINO SAO LUCAS,CASCAVEL,10a RS CASCAVEL,MACRORREGIAO OESTE,9,5,0,1,4
HOSPITAL DE ENSINO SAO LUCAS,CASCAVEL,10a RS CASCAVEL,MACRORREGIAO OESTE,10,3,0,1,1
HOSPITAL DE ENSINO SAO LUCAS,CASCAVEL,10a RS CASCAVEL,MACRORREGIAO OESTE,11,6,0,0,4
HOSPITAL DE ENSINO SAO LUCAS,CASCAVEL,10a RS CASCAVEL,MACRORREGIAO OESTE,12,6,0,0,4
HOSPITAL DE ENSINO SAO LUCAS,CASCAVEL,10a RS CASCAVEL,MACRORREGIAO OESTE,13,11,0,3,9
