"variavel","lag","n_obs","rho","p_valor","sig"
"amplitude",0,28,-0.359,0.0603,"ns"
"amplitude",1,27,-0.437,0.0227,"*"
"amplitude",2,26,-0.281,0.1639,"ns"
"amplitude",3,25,-0.161,0.4434,"ns"
"amplitude",4,24,-0.215,0.3141,"ns"
"precip_sum",0,28,-0.008,0.9664,"ns"
"precip_sum",1,27,0.093,0.6456,"ns"
"precip_sum",2,26,0.055,0.7893,"ns"
"precip_sum",3,25,-0.042,0.8422,"ns"
"precip_sum",4,24,-0.117,0.5853,"ns"
"tmin_med",0,28,-0.799,0,"**"
"tmin_med",1,27,-0.713,0,"**"
"tmin_med",2,26,-0.664,2e-04,"**"
"tmin_med",3,25,-0.656,4e-04,"**"
"tmin_med",4,24,-0.71,1e-04,"**"
"umid_med",0,28,0.544,0.0028,"**"
"umid_med",1,27,0.493,0.009,"**"
"umid_med",2,26,0.359,0.0716,"ns"
"umid_med",3,25,0.197,0.3443,"ns"
"umid_med",4,24,0.194,0.3648,"ns"
