 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2025 - Brasil
População residente por Município
Unidade da Federação: Paraná
Região de Saúde (CIR): 41015 15ª RS Maringá
Período:2025
"Município";"População_residente"
"410115 ANGULO";3357
"410210 ASTORGA";26203
"410220 ATALAIA";4046
"410590 COLORADO";23313
"410730 DOUTOR CAMARGO";6517
"410780 FLORAI";4805
"410790 FLORESTA";11522
"410810 FLORIDA";2711
"411000 IGUARACU";5693
"411090 ITAGUAJE";4530
"411110 ITAMBE";6228
"411160 IVATUBA";2685
"411360 LOBATO";4707
"411410 MANDAGUACU";34521
"411420 MANDAGUARI";38313
"411480 MARIALVA";44749
"411520 MARINGA";429660
"411630 MUNHOZ DE MELO";4057
"411640 NOSSA SENHORA DAS GRACAS";3669
"411690 NOVA ESPERANCA";27142
"411740 OURIZONA";3193
"411750 PAICANDU";48695
"411810 PARANACITY";9549
"412040 PRESIDENTE CASTELO BRANCO";4304
"412340 SANTA FE";11730
"412360 SANTA INES";1745
"412450 SANTO INACIO";6463
"412530 SAO JORGE DO IVAI";5170
"412625 SARANDI";128106
"412830 UNIFLOR";2106
"Total";909489
 Fonte:
 
 Trabalho coordenado pela RIPSA.
 Realização: CGI Demográfico/RIPSA e CGIAE/SVSA/Ministério da Saúde.
 Dados básicos: IBGE
 Baixe os arquivos com os dados de Estimativas Populacionais por Município, Idade e Sexo 2000-2025 a partir do endereço de FTP
 ftp://ftp.datasus.gov.br/dissemin/publicos/IBGE/POPSVS/

