codigo_ibge_6,municipio,codigo_regional,regional,codigo_macrorregiao,macrorregiao,populacao_ibge_2022
411370,LONDRINA,41017,17a RS LONDRINA,4105,MACRORREGIONAL NORTE,555965
410140,APUCARANA,41016,16a RS APUCARANA,4105,MACRORREGIONAL NORTE,130134
410150,ARAPONGAS,41016,16a RS APUCARANA,4105,MACRORREGIONAL NORTE,119138
410370,CAMBE,41017,17a RS LONDRINA,4105,MACRORREGIONAL NORTE,107208
412240,ROLANDIA,41017,17a RS LONDRINA,4105,MACRORREGIONAL NORTE,71670
410980,IBIPORA,41017,17a RS LONDRINA,4105,MACRORREGIONAL NORTE,51603
410640,CORNELIO PROCOPIO,41018,18a RS CORNELIO PROCOPIO,4105,MACRORREGIONAL NORTE,45206
412410,SANTO ANTONIO DA PLATINA,41019,19a RS JACAREZINHO,4105,MACRORREGIONAL NORTE,44369
411180,JACAREZINHO,41019,19a RS JACAREZINHO,4105,MACRORREGIONAL NORTE,40375
411150,IVAIPORA,41022,22a RS IVAIPORA,4105,MACRORREGIONAL NORTE,32720
410240,BANDEIRANTES,41018,18a RS CORNELIO PROCOPIO,4105,MACRORREGIONAL NORTE,31273
410970,IBAITI,41019,19a RS JACAREZINHO,4105,MACRORREGIONAL NORTE,28830
410360,CAMBARA,41019,19a RS JACAREZINHO,4105,MACRORREGIONAL NORTE,23212
412660,SIQUEIRA CAMPOS,41019,19a RS JACAREZINHO,4105,MACRORREGIONAL NORTE,22811
411210,JANDAIA DO SUL,41016,16a RS APUCARANA,4105,MACRORREGIONAL NORTE,21408
410110,ANDIRA,41018,18a RS CORNELIO PROCOPIO,4105,MACRORREGIONAL NORTE,19878
412850,WENCESLAU BRAZ,41019,19a RS JACAREZINHO,4105,MACRORREGIONAL NORTE,19188
410470,CARLOPOLIS,41019,19a RS JACAREZINHO,4105,MACRORREGIONAL NORTE,16905
410760,FAXINAL,41016,16a RS APUCARANA,4105,MACRORREGIONAL NORTE,16389
412650,SERTANOPOLIS,41017,17a RS LONDRINA,4105,MACRORREGIONAL NORTE,15930
410440,CANDIDO DE ABREU,41022,22a RS IVAIPORA,4105,MACRORREGIONAL NORTE,15244
411190,JAGUAPITA,41017,17a RS LONDRINA,4105,MACRORREGIONAL NORTE,15122
410280,BELA VISTA DO PARAISO,41017,17a RS LONDRINA,4105,MACRORREGIONAL NORTE,14833
