SEM_NOT,virus,positivos,testados,taxa_positividade
01,Covid-19,1,11,9.1
01,Influenza,1,11,9.1
01,Rinovírus,1,11,9.1
01,VSR,3,11,27.3
02,Adenovírus,1,13,7.7
02,Metapneumovírus,1,13,7.7
02,Rinovírus,4,13,30.8
04,Influenza,1,11,9.1
04,Rinovírus,1,11,9.1
04,VSR,1,11,9.1
05,Covid-19,1,12,8.3
05,Influenza,1,12,8.3
05,Rinovírus,2,12,16.7
05,VSR,1,12,8.3
06,Covid-19,3,24,12.5
06,Influenza,1,24,4.2
06,Rinovírus,4,24,16.7
06,VSR,2,24,8.3
07,Influenza,1,23,4.3
07,Rinovírus,13,23,56.5
07,VSR,2,23,8.7
08,Covid-19,1,26,3.8
08,Metapneumovírus,2,26,7.7
08,Rinovírus,5,26,19.2
09,Covid-19,1,19,5.3
09,Metapneumovírus,1,19,5.3
09,Rinovírus,5,19,26.3
09,VSR,5,19,26.3
10,Covid-19,4,31,12.9
10,Influenza,2,31,6.5
10,Rinovírus,5,31,16.1
10,VSR,5,31,16.1
11,Adenovírus,1,31,3.2
11,Covid-19,1,31,3.2
11,Metapneumovírus,1,31,3.2
11,Rinovírus,5,31,16.1
11,VSR,3,31,9.7
12,Covid-19,1,22,4.5
12,Rinovírus,7,22,31.8
12,VSR,3,22,13.6
13,Rinovírus,3,17,17.6
13,VSR,1,17,5.9
14,Influenza,4,29,13.8
14,Rinovírus,7,29,24.1
14,VSR,7,29,24.1
15,Adenovírus,1,44,2.3
15,Covid-19,1,44,2.3
15,Influenza,2,44,4.5
15,Rinovírus,6,44,13.6
15,VSR,6,44,13.6
16,Influenza,2,19,10.5
16,Rinovírus,3,19,15.8
16,VSR,6,19,31.6
17,Adenovírus,2,35,5.7
17,Influenza,3,35,8.6
17,Metapneumovírus,1,35,2.9
17,Rinovírus,6,35,17.1
17,VSR,7,35,20
18,Adenovírus,1,39,2.6
18,Covid-19,1,39,2.6
18,Influenza,3,39,7.7
18,Metapneumovírus,1,39,2.6
18,Rinovírus,5,39,12.8
18,VSR,24,39,61.5
19,Adenovírus,1,37,2.7
19,Influenza,1,37,2.7
19,Rinovírus,6,37,16.2
19,VSR,11,37,29.7
20,Covid-19,1,44,2.3
20,Influenza,4,44,9.1
20,Metapneumovírus,1,44,2.3
20,Rinovírus,7,44,15.9
20,VSR,8,44,18.2
21,Adenovírus,1,41,2.4
21,Influenza,4,41,9.8
21,Rinovírus,2,41,4.9
21,VSR,6,41,14.6
22,Influenza,9,54,16.7
22,Rinovírus,6,54,11.1
22,VSR,15,54,27.8
23,Influenza,5,56,8.9
23,Metapneumovírus,1,56,1.8
23,Rinovírus,10,56,17.9
23,VSR,13,56,23.2
24,Influenza,2,49,4.1
24,Metapneumovírus,1,49,2
24,Rinovírus,5,49,10.2
24,VSR,8,49,16.3
25,Influenza,4,59,6.8
25,Metapneumovírus,1,59,1.7
25,Rinovírus,11,59,18.6
25,VSR,5,59,8.5
26,Adenovírus,1,52,1.9
26,Influenza,4,52,7.7
26,Metapneumovírus,1,52,1.9
26,Rinovírus,8,52,15.4
26,VSR,7,52,13.5
27,Adenovírus,3,50,6
27,Influenza,3,50,6
27,Metapneumovírus,2,50,4
27,Rinovírus,11,50,22
27,VSR,12,50,24
28,Influenza,5,57,8.8
28,Metapneumovírus,2,57,3.5
28,Rinovírus,9,57,15.8
28,VSR,16,57,28.1
29,Adenovírus,3,53,5.7
29,Covid-19,1,53,1.9
29,Influenza,4,53,7.5
29,Metapneumovírus,3,53,5.7
29,Rinovírus,8,53,15.1
29,VSR,4,53,7.5
30,Influenza,3,27,11.1
30,Rinovírus,3,27,11.1
30,VSR,5,27,18.5
31,Adenovírus,1,28,3.6
31,Influenza,2,28,7.1
31,Metapneumovírus,1,28,3.6
31,Rinovírus,2,28,7.1
31,VSR,4,28,14.3
32,Rinovírus,5,24,20.8
33,Rinovírus,1,3,33.3
